Date,Close/Last,Volume,Open,High,Low
09/08/2021,232.73,3027557,233.01,233.26,231.59
09/07/2021,233.28,3258393,234.29,234.2999,233.02
09/03/2021,234.29,2484310,234,234.5,233.63
09/02/2021,234.37,3275088,234.31,234.65,233.68
09/01/2021,233.58,3533123,233.82,234.21,233.25
08/31/2021,233.17,3099418,233.56,233.63,232.77
08/30/2021,233.61,3193974,233.22,233.965,232.8
08/27/2021,232.73,3749765,230.8,232.935,230.674
08/26/2021,230.25,3351951,231.62,231.789,230.16
08/25/2021,231.8,2896979,231.39,232.02,230.98
08/24/2021,231.14,2772623,230.86,231.41,230.67
08/23/2021,230.32,3180576,229.07,230.74,228.78
08/20/2021,228.11,2655130,226.32,228.185,226.02
08/19/2021,226.08,3964540,224.72,226.82,224.4
08/18/2021,226.25,3194088,228.11,228.825,226.06
08/17/2021,228.53,3735148,228.72,229.04,226.78
08/16/2021,230.24,3195416,229.48,230.245,228.28
08/13/2021,230.15,2515966,230.23,230.25,229.76
08/12/2021,230.02,2747173,229.35,230.02,228.77
08/11/2021,229.38,3051428,229.44,229.49,228.41
08/10/2021,228.93,2946671,229,229.3099,228.51
08/09/2021,228.78,3295454,228.86,229.04,228.02
08/06/2021,228.87,2343355,228.93,229.31,228.39
08/05/2021,228.59,2461933,227.52,228.595,227.24
08/04/2021,226.97,3374500,227.19,227.69,226.75
08/03/2021,227.99,3245391,226.83,228,225.28
08/02/2021,226.37,3558108,227.85,228.1,226.1916
07/30/2021,226.69,2846768,226.57,227.9195,226.4
07/29/2021,228.04,2960948,227.58,228.75,227.58
07/28/2021,227.04,3306665,227.12,227.81,226.1881
07/27/2021,226.69,4169619,227.38,227.4301,224.98
07/26/2021,227.92,2849851,227.25,227.92,227.13
07/23/2021,227.46,2982715,226.25,227.61,225.83
07/22/2021,225.21,2236248,225.2,225.35,224.18
07/21/2021,225.02,2542533,223.75,225.02,223.55
07/20/2021,223.02,5362926,219.95,223.71,219.385
07/19/2021,219.23,6966215,219.81,219.81,217.822
07/16/2021,222.39,3203304,225,225,222.19
07/15/2021,224.15,3276480,224.45,224.76,222.86
07/14/2021,224.94,2830171,226.27,226.455,224.42
07/13/2021,225.25,4668405,226.1,226.52,225.12
07/12/2021,226.51,3294631,225.95,226.61,225.47
07/09/2021,225.88,3886588,224.16,225.98,224.02
07/08/2021,223.18,4486390,221.93,223.7196,221.14
07/07/2021,225.08,4042470,225.08,225.36,223.52
07/06/2021,224.78,4147184,225.38,225.52,223.163
07/02/2021,225.27,3026358,224.71,225.41,224.3101
07/01/2021,224.03,3835965,223.4,224.0596,223.1
06/30/2021,222.82,3041724,222.69,223.1453,222.46
06/29/2021,222.81,4068267,223.31,223.4,222.47
06/28/2021,222.8,3094871,222.99,222.99,221.8601
06/25/2021,222.55,2801325,222.26,222.7,221.91
06/24/2021,221.72,2931620,221.51,221.87,221.29
06/23/2021,220.9,2662360,221.1,221.59,220.8101
06/22/2021,220.99,2684282,219.85,221.35,219.18
06/21/2021,219.74,3870334,217.67,219.795,217.08
06/18/2021,216.75,4538330,217.99,218.15,216.53
06/17/2021,219.47,3002892,219.44,220.0591,217.95
06/16/2021,219.68,3459612,220.97,220.97,218.3809
06/15/2021,220.78,3094036,221.49,221.53,220.1695
06/14/2021,221.36,3189351,221.2,221.39,220.38
06/11/2021,221.02,2837163,220.78,221.02,220.125
06/10/2021,220.37,2936714,220.21,220.9,219.19
06/09/2021,219.4,2688611,220.41,220.5,219.35
06/08/2021,220.02,2831662,220.03,220.2757,218.66
06/07/2021,219.57,2762826,219.55,219.68,219.03
06/04/2021,219.39,2287141,218.57,219.4791,218.46
06/03/2021,217.5,2967036,217.3,218.05,216.08
06/02/2021,218.47,3599636,218.62,218.82,217.89
06/01/2021,218.18,3805673,219.53,219.53,217.81
05/28/2021,218.09,2639652,218.6,218.73,218.025
05/27/2021,217.72,2617247,218,218.24,217.59
05/26/2021,217.32,3258066,216.98,217.555,216.482
05/25/2021,216.54,3700639,217.84,218.02,216.2
05/24/2021,217.14,2873655,216.24,217.7,215.92
05/21/2021,214.97,3623280,216.08,216.738,214.71
05/20/2021,215.09,3478339,213.21,215.655,213.18
05/19/2021,212.78,6014965,210.57,212.78,209.75
05/18/2021,213.4,3173141,215.25,215.63,213.34
05/17/2021,215.08,4062592,214.9,215.3794,213.74
05/14/2021,215.54,4292564,213.55,215.96,213.5
05/13/2021,211.92,4972257,210.38,212.92,210.33
05/12/2021,209.61,5788414,212.94,213.63,209.21
05/11/2021,214.44,5959913,213.29,214.91,212.02
05/10/2021,216.18,4443785,218.89,218.8999,216.05
05/07/2021,218.75,3868069,217.4,218.99,217.1
05/06/2021,216.91,4131239,215.78,216.95,214.08
05/05/2021,215.81,2032593,216.94,216.95,215.28
05/04/2021,215.85,4899970,216.48,216.54,213.81
05/03/2021,217.48,3846346,218.57,218.57,217.3
04/30/2021,217.1,3256608,217.51,218.17,216.75
04/29/2021,218.7,4178773,219.6,219.65,216.94
04/28/2021,217.87,2603909,218.07,218.64,217.621
04/27/2021,217.9,2669993,218.3,218.325,217.35
04/26/2021,218,3202476,217.74,218.27,217.45
04/23/2021,217.21,4377383,215.08,217.865,214.965
04/22/2021,214.61,4394838,216.45,217.04,213.8801
04/21/2021,216.3,3167862,213.65,216.325,213.2529
04/20/2021,213.75,5210303,215.22,215.54,212.92
04/19/2021,215.73,3986856,216.73,216.91,215
04/16/2021,217.15,4306032,217.46,217.473,216.32
04/15/2021,216.6,5439597,215.73,216.67,215.46
04/14/2021,214.32,3765609,215.06,215.87,214.035
04/13/2021,214.8,4056878,214.36,215.28,214
04/12/2021,214.2,3882769,214.06,214.365,213.3306
04/09/2021,214.14,3559090,212.85,214.25,212.62
04/08/2021,212.85,3628920,212.54,212.85,211.77
04/07/2021,211.62,3299436,211.79,212.12,211.09
04/06/2021,211.8,4029868,211.69,212.485,211.41
04/05/2021,211.72,5941387,210.85,211.96,210.56
04/01/2021,209.28,4543279,207.99,209.3,207.56
03/31/2021,206.69,5494825,206.05,207.615,206
03/30/2021,205.44,3960465,205.17,205.89,204.29
03/29/2021,205.5,4562917,205.59,206.36,204.24
03/26/2021,206.47,3554937,204.11,206.64,203.24
03/25/2021,203.15,4976764,200.92,203.66,199.5
03/24/2021,202.33,4014518,205.17,205.85,202.33
03/23/2021,204.02,4764821,206.19,206.44,203.64
03/22/2021,206.37,3603913,205.88,207.26,205.38
03/19/2021,205.26,3870950,205.14,206.15,203.5703
03/18/2021,205,3647862,207.45,208.44,204.77
03/17/2021,208.8,3347022,207.31,209.29,206.36
03/16/2021,208.01,4599911,209.14,209.3,207.36
03/15/2021,208.85,3452054,207.73,208.9,206.39
03/12/2021,207.4,4068984,206.16,207.46,205.55
03/11/2021,206.99,4102705,206.08,207.828,205.705
03/10/2021,204.32,4133772,204.55,205.27,203.61
03/09/2021,202.87,4116133,202.23,204.345,201.71
03/08/2021,199.77,4281410,201.44,202.89,199.57
03/05/2021,200.75,6614765,199.37,201.21,194.11
03/04/2021,197.19,7198829,200.04,201.2412,194.52
03/03/2021,200.36,4333981,203.22,203.54,200.18
03/02/2021,203.29,4858986,205.5,205.55,203.17
03/01/2021,205.22,4696793,203.15,205.845,203.065
02/26/2021,200.08,6324563,201.99,202.69,198.55
02/25/2021,200.88,7581118,205.74,206.378,200
02/24/2021,206.27,3722779,203.6,206.48,202.775
02/23/2021,203.98,5708246,202.55,204.68,199.36
02/22/2021,204.01,4400344,204.72,205.53,203.91
02/19/2021,205.97,4921781,206.43,207.03,205.65
02/18/2021,205.5,3659561,205.23,206.09,204.01
02/17/2021,206.69,4537658,206.02,206.9,205.04
02/16/2021,207.12,4955666,208.31,208.39,206.52
02/12/2021,207.49,2416655,205.89,207.51,205.8015
02/11/2021,206.42,2630148,206.7,206.94,204.82
02/10/2021,205.93,3682381,207.07,207.22,204.45
02/09/2021,206.02,3384784,205.6,206.45,205.25
02/08/2021,205.94,3676683,205.19,205.98,204.78
02/05/2021,204.11,3127208,204.12,204.29,203.16
02/04/2021,202.97,2746438,201.16,202.97,201.03
02/03/2021,200.43,2905649,200.82,201.26,199.59
02/02/2021,200.13,3278672,199.2,200.955,199.05
02/01/2021,197.3,3900677,195.88,197.7295,194.53
01/29/2021,193.99,8315713,196.74,197.2515,192.82
01/28/2021,197.45,5310074,196.84,199.68,196.74
01/27/2021,195.91,6727727,199.05,199.08,194.65
01/26/2021,200.73,4046934,201.89,202.34,200.68
01/25/2021,201.46,5323420,201.27,201.949,198.35
01/22/2021,200.89,3045862,200.255,201.31,199.955
01/21/2021,201.22,2966755,201.85,202,200.7761
01/20/2021,201.37,5224929,200.08,201.76,199.97
01/19/2021,198.86,4153749,198.66,199.04,197.83
01/15/2021,197.06,3444835,197.96,198.25,195.975
01/14/2021,198.79,4288989,199.55,200.03,198.515
01/13/2021,198.98,3465834,198.73,199.5789,198.05
01/12/2021,198.76,3874058,198.37,198.99,197.34
01/11/2021,198.06,3860661,197.42,199.06,197.22
01/08/2021,199.25,7538654,199.14,199.46,196.98
01/07/2021,198.29,4830893,196.42,198.62,196.4
01/06/2021,195.16,6175661,192.5,196.89,192.46
01/05/2021,193.42,3893996,191.49,193.95,191.42
01/04/2021,191.87,8825771,195.39,195.43,189.76
12/31/2020,194.64,3746410,193.75,194.87,193.25
12/30/2020,193.75,4314032,193.9,194.3755,193.605
12/29/2020,193.23,4606179,194.86,194.95,192.82
12/28/2020,194.04,3780480,194.59,194.6,193.8
12/24/2020,192.82,1744035,192.88,193,192.24
12/23/2020,193.28,3451397,193.65,194.215,193.16
12/22/2020,192.95,4338732,193.31,193.4798,192.21
12/21/2020,192.91,5011894,191.6,193.35,189.82
12/18/2020,193.47,4542076,194.38,194.47,192.21
12/17/2020,194.02,4132796,193.42,194.02,193.21
12/16/2020,192.51,2983891,192.47,192.99,191.89
12/15/2020,192.24,3229233,191.19,192.27,190.375
12/14/2020,189.64,3530473,191.69,192.19,189.58
12/11/2020,190.18,3463002,189.56,190.37,188.6
12/10/2020,190.52,3223497,189.33,190.91,188.71
12/09/2020,190.24,4470461,192.54,192.64,189.51
12/08/2020,192.13,3448990,190.64,192.39,190.6
12/07/2020,191.3,4319741,191.3,191.5,190.62
12/04/2020,191.51,4401562,190,191.51,189.99
12/03/2020,189.61,4408618,189.32,190.3,189.02
12/02/2020,189.23,3831384,188.44,189.29,187.8
12/01/2020,189.07,3868707,189.17,189.8,188.65
11/30/2020,186.7,3721753,188.06,188.13,185.54
11/27/2020,188.18,1742522,188.13,188.37,187.68
11/25/2020,187.52,3459403,187.45,187.68,186.57
11/24/2020,187.59,5381856,186.29,187.82,185.6
11/23/2020,184.73,4390904,184.29,185.2,183.365
11/20/2020,183.23,2785776,184.17,184.17,183.16
11/19/2020,184.2,3038547,183,184.35,182.21
11/18/2020,183.18,3281905,185.45,185.75,183.17
11/17/2020,185.14,5733468,184.76,185.69,183.61
11/16/2020,185.56,6191442,185.54,185.61,184.0901
11/13/2020,183.32,4771512,181.88,183.64,181.58
11/12/2020,180.76,3325799,181.95,182.4044,179.7
11/11/2020,182.56,2878914,182.43,182.8966,181.59
11/10/2020,181.09,5609359,181.01,181.69,179.09
11/09/2020,181.39,5549833,187.52,187.52,181.12
11/06/2020,179.26,3222208,179.18,179.8,178.08
11/05/2020,179.35,3678118,178.67,180.0804,178.41
11/04/2020,175.72,3632104,174.16,177.85,173.69
11/03/2020,171.97,4095960,170.7,172.96,170.34
11/02/2020,168.73,3741619,168.79,169.805,167.16
10/30/2020,166.99,3991637,167.89,168.75,165.02
10/29/2020,168.78,3101045,167.5,170.47,166.5
10/28/2020,167.2,4617505,169.9,170.23,167.01
10/27/2020,172.93,2525159,173.83,174.02,172.82
10/26/2020,173.63,3873585,175.04,175.49,171.6
10/23/2020,176.84,2412692,176.81,176.95,175.46
10/22/2020,176.26,3763545,175.33,176.56,174.12
10/21/2020,175.02,3237196,175.66,176.715,175.02
10/20/2020,175.62,2625933,175.9,177.36,175.2401
10/19/2020,175.01,2713762,178.31,179.25,174.62
10/16/2020,177.55,1910310,178.48,179.31,177.55
10/15/2020,177.87,2865532,175.61,178.07,175.1601
10/14/2020,177.81,2155683,179.2,179.9226,177.49
10/13/2020,179,2448959,179.67,179.82,178.4344
10/12/2020,179.95,2895762,178.65,180.64,178.4125
10/09/2020,177.32,2489202,176.9,177.6344,176.44
10/08/2020,175.84,2335209,175.53,175.89,174.88
10/07/2020,174.31,1952662,172.99,174.729,172.94
10/06/2020,171.32,2803289,173.73,174.98,171.01
10/05/2020,173.46,2574200,171.61,173.53,171.33
10/02/2020,170.39,2325608,168.65,171.3073,168.23
10/01/2020,171.73,3234067,171.72,172.25,170.61
09/30/2020,170.31,4786367,169.51,171.9679,169.25
09/29/2020,169.04,2121389,169.84,170.229,168.69
09/28/2020,169.99,3291301,169.32,170.3,168.8902
09/25/2020,166.96,2985978,163.78,167.44,163.53
09/24/2020,164.99,3792190,163.92,166.69,162.85
09/23/2020,164.64,2071393,169,169.13,164.35
09/22/2020,168.71,2090853,167.76,168.925,166.37
09/21/2020,167.05,4175277,166.47,167.06,164.27
09/18/2020,169.09,3178029,171.21,171.21,167.53
09/17/2020,170.75,2780795,169.56,171.54,169.22
09/16/2020,172.17,2827182,173.46,174.38,172.07
09/15/2020,172.74,2129969,173.2,173.639,172.1103
09/14/2020,171.76,3080821,171,172.37,170.6
09/11/2020,169.12,3407741,170.24,170.555,167.5
09/10/2020,169.06,3507705,173.06,173.49,168.6
09/09/2020,171.88,4290412,170.83,173.1434,170.33
09/08/2020,168.58,3976020,170.3,171.04,168.3554
09/04/2020,173.45,4380331,175.34,176.14,169.2
09/03/2020,174.94,5341383,180,180.49,173.51
09/02/2020,181.24,4021944,180,181.67,179.01
09/01/2020,178.85,2881475,177.69,178.99,177.165
08/31/2020,177.28,3189611,177.66,178.14,176.95
08/28/2020,177.68,4163149,177.18,177.71,176.535
08/27/2020,176.45,3435348,176.52,177.2904,175.53
08/26/2020,176.03,2441127,174.73,176.175,174.48
08/25/2020,174.45,5162842,174.22,174.47,173.42
08/24/2020,173.87,2467515,173.51,173.87,172.87
08/21/2020,172.22,2284651,171.54,172.3,171.41
08/20/2020,171.79,2184395,170.26,172.06,170.1877
08/19/2020,171.3,2290966,172.17,172.5,170.99
08/18/2020,171.97,3551481,172,172.27,170.98
08/17/2020,171.71,3422471,171.43,171.86,171.385
08/14/2020,170.98,2214103,170.72,171.295,170.38
08/13/2020,171.03,2247211,170.79,171.75,170.4826
08/12/2020,171.16,3365388,170.37,171.519,170.34
08/11/2020,168.9,3124986,171,171.33,168.48
08/10/2020,170.27,2496692,170.03,170.3899,169.05
08/07/2020,169.8,2194155,169.22,169.95,168.6
08/06/2020,169.66,2150856,168.62,169.775,168.275
08/05/2020,168.84,2683234,168.48,168.915,168.3
08/04/2020,167.62,2811708,166.61,167.62,166.53
08/03/2020,166.96,4341959,166.47,167.3,166.1546
07/31/2020,165.52,3159796,165.54,165.62,162.96
07/30/2020,164.68,2473306,163.44,164.87,162.41
07/29/2020,165.05,2153251,163.46,165.431,163.46
07/28/2020,162.89,1904878,163.62,164.23,162.78
07/27/2020,164.09,2423544,163.06,164.1,162.625
07/24/2020,162.69,2360911,162.83,163.4,161.9
07/23/2020,163.96,3114881,165.61,166.2,163.08
07/22/2020,165.77,2723157,164.59,165.94,164.59
